text,label
Rahul Gandhi is dead ,0
Rahul Gandhi is leader of opposition,1
PM Narendra Modi is dead ,0
PM modi is the prime minister of India,1
Indian womens team won 50-50 worlds cup championship,1
Pm modi launche india first vande bharat sleeper,1
Donald trump win nobel prize,0
Asaduddin Owaisi interview: �Wrong to see AIMIM�s Maharashtra wins via prism of religion� what do secular parties have left?�,1
Yogi Adityanath is dead,0
Yogi Adityanatth is the chief minister of Uttar pradesh,0
"Indian Railways targets renewal of 7,900 track km in FY27 to improve safety, speed",1
"PM Modi lays foundation stone for Kaziranga corridor, flags off 2 Amrit Bharat trains",1
Donald Trump is the president of america,1
Donald trump is dead,0
Congress-led UDF win in Kerala will mean Muslim League rule�: Ezhava community leader Vellappally Natesan,1
Bangladesh ruled out of  T20 world cup 2024,1
Bangladesh play T20 world cup,0
Scotland play T20 worldcup,1
